Timestamp for sample frequency every 60 min min,Temperature_Fahrenheit,Relative_Humidity
2022-01-26 00:00:00,66.92,41.8
2022-01-26 01:00:00,68.72,43.6
2022-01-26 02:00:00,68.54,43.9
2022-01-26 03:00:00,68.54,44.1
2022-01-26 04:00:00,68.36,44.2
2022-01-26 05:00:00,68.18,44
2022-01-26 06:00:00,68,43.9
2022-01-26 07:00:00,67.82,43.6
2022-01-26 08:00:00,67.46,43.3
2022-01-26 09:00:00,67.28,43.6
2022-01-26 10:00:00,68.36,41.3
2022-01-26 11:00:00,69.44,41
2022-01-26 12:00:00,70.52,41.2
2022-01-26 13:00:00,69.26,42.2
2022-01-26 14:00:00,69.98,43.8
2022-01-26 15:00:00,70.34,43.6
2022-01-26 16:00:00,69.26,45.3
2022-01-26 17:00:00,71.06,43
2022-01-26 18:00:00,72.14,42.1
2022-01-26 19:00:00,71.78,41.9
2022-01-26 20:00:00,70.52,41.9
2022-01-26 21:00:00,69.98,41.7
2022-01-26 22:00:00,70.16,42.1
2022-01-26 23:00:00,69.98,41.7
2022-01-27 00:00:00,69.44,41.9
2022-01-27 01:00:00,69.08,41.8
2022-01-27 02:00:00,68.72,42
2022-01-27 03:00:00,68.36,42.3
2022-01-27 04:00:00,68.18,42.6
2022-01-27 05:00:00,67.82,43
2022-01-27 06:00:00,67.46,43.7
2022-01-27 07:00:00,67.1,44.2
2022-01-27 08:00:00,68.36,44.7
2022-01-27 09:00:00,50.72,39.6
2022-01-27 10:00:00,57.38,34.5
2022-01-27 11:00:00,58.46,31.8
2022-01-27 12:00:00,54.14,33.3
2022-01-27 13:00:00,46.22,36
2022-01-27 14:00:00,42.8,37.7
2022-01-27 15:00:00,38.3,41.5
2022-01-27 16:00:00,37.94,43.6
2022-01-27 17:00:00,36.86,47.6
2022-01-27 18:00:00,35.96,48.8
2022-01-27 19:00:00,40.46,55
2022-01-27 20:00:00,43.34,55.7
2022-01-27 21:00:00,46.58,57
2022-01-27 22:00:00,48.02,51.8
2022-01-27 23:00:00,55.4,56.3
2022-01-28 00:00:00,67.82,52
2022-01-28 01:00:00,68.72,49.6
2022-01-28 02:00:00,68.72,50.5
2022-01-28 03:00:00,68.9,50.5
2022-01-28 04:00:00,68.9,50.5
2022-01-28 05:00:00,69.08,50.6
2022-01-28 06:00:00,69.44,50.2
2022-01-28 07:00:00,68.72,49.5
2022-01-28 08:00:00,68,51.1
2022-01-28 09:00:00,67.82,50.9
2022-01-28 10:00:00,69.08,49.5
2022-01-28 11:00:00,69.08,48.3
2022-01-28 12:00:00,69.26,48
2022-01-28 13:00:00,69.26,47.3
2022-01-28 14:00:00,69.44,48.6
2022-01-28 15:00:00,69.8,48.1
